School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2015-16,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,School Level Code [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Includes AE) [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,Male Students [Public School] 2015-16,Female Students [Public School] 2015-16,State Name [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16
FEATHERBED LANE ELEMENTARY,Maryland,MD ,Featherbed Lane Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,616,616,13,515,17,616,330,286,MARYLAND,42.2,14.6
FEDERAL HILL PREPARATORY SCHOOL,Maryland,MD ,Federal Hill Preparatory School,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,314,314,14,209,69,314,182,132,MARYLAND,19,16.53
FEDERALSBURG ELEMENTARY SCHOOL,Maryland,MD ,Federalsburg Elementary School,Caroline County,FEDERALSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,475,475,10,168,239,475,245,230,MARYLAND,36,13.19
FERNDALE EARLY EDUCATION CENTER,Maryland,MD ,Ferndale Early Education Center,Anne Arundel County,GLEN BURNIE,MD ,1-Regular school,2-No,2-No,1-Primary,142,142,1,20,85,142,75,67,MARYLAND,12.1,11.74
FIELDS ROAD ELEMENTARY,Maryland,MD ,Fields Road Elementary,Montgomery County,GAITHERSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,464,464,72,97,140,464,237,227,MARYLAND,37.2,12.47
FIFTH DISTRICT ELEMENTARY,Maryland,MD ,Fifth District Elementary,Baltimore County,UPPERCO,MD ,1-Regular school,2-No,2-No,1-Primary,278,278,2,3,239,278,132,146,MARYLAND,17.5,15.89
FLEXIBLE STUDENT SUPPORT,Maryland,MD ,Flexible Student Support,Carroll County,WESTMINSTER,MD ,4-Alternative/other school,2-No,2-No,3-High,27,27,0,0,27,27,11,16,MARYLAND,–,–
FLINTSTONE ELEMENTARY,Maryland,MD ,Flintstone Elementary,Allegany County,FLINTSTONE,MD ,1-Regular school,2-No,2-No,1-Primary,234,234,1,0,223,234,124,110,MARYLAND,15.4,15.19
FLINTSTONE ELEMENTARY,Maryland,MD ,Flintstone Elementary,Prince George's County,OXON HILL,MD ,1-Regular school,2-No,2-No,1-Primary,438,438,16,159,11,438,217,221,MARYLAND,26.2,16.72
FLORA M. SINGER ELEMENTARY SCHOOL,Maryland,MD ,Flora M. Singer Elementary School,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,735,735,51,100,264,735,395,340,MARYLAND,55.2,13.32
FLOWER HILL ELEMENTARY,Maryland,MD ,Flower Hill Elementary,Montgomery County,GAITHERSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,493,493,64,152,40,493,277,216,MARYLAND,35.3,13.97
FLOWER VALLEY ELEMENTARY,Maryland,MD ,Flower Valley Elementary,Montgomery County,ROCKVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,496,496,52,71,225,496,252,244,MARYLAND,32.2,15.4
FOLGER MCKINSEY ELEMENTARY,Maryland,MD ,Folger Mckinsey Elementary,Anne Arundel County,SEVERNA PARK,MD ,1-Regular school,2-No,2-No,1-Primary,618,618,16,19,532,618,318,300,MARYLAND,35.4,17.46
FOLLY QUARTER MIDDLE,Maryland,MD ,Folly Quarter Middle,Howard County,ELLICOTT CITY,MD ,1-Regular school,2-No,2-No,2-Middle,634,634,136,29,401,634,347,287,MARYLAND,40.5,15.65
FOREST HEIGHTS ELEMENTARY,Maryland,MD ,Forest Heights Elementary,Prince George's County,OXON HILL,MD ,1-Regular school,2-No,2-No,1-Primary,295,295,1,191,1,295,142,153,MARYLAND,23.86,12.36
FOREST HILL ELEMENTARY,Maryland,MD ,Forest Hill Elementary,Harford County,FOREST HILL,MD ,1-Regular school,2-No,2-No,1-Primary,474,474,12,6,419,474,220,254,MARYLAND,33.25,14.26
FOREST KNOLLS ELEMENTARY,Maryland,MD ,Forest Knolls Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,769,769,55,110,244,769,411,358,MARYLAND,55.1,13.96
FOREST LAKES ELEMENTARY,Maryland,MD ,Forest Lakes Elementary,Harford County,FOREST HILL,MD ,1-Regular school,2-No,2-No,1-Primary,460,460,8,9,398,460,254,206,MARYLAND,29.55,15.57
FOREST OAK MIDDLE,Maryland,MD ,Forest Oak Middle,Montgomery County,GAITHERSBURG,MD ,1-Regular school,2-No,2-No,2-Middle,804,804,60,228,107,804,403,401,MARYLAND,58.6,13.72
FOREST PARK HIGH,Maryland,MD ,Forest Park High,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,3-High,476,476,0,465,6,476,266,210,MARYLAND,28,17
FOREST RIDGE ELEMENTARY,Maryland,MD ,Forest Ridge Elementary,Howard County,LAUREL,MD ,1-Regular school,2-No,2-No,1-Primary,741,741,179,252,173,741,375,366,MARYLAND,51.2,14.47
FORESTVILLE HIGH,Maryland,MD ,Forestville High,Prince George's County,FORESTVILLE,MD ,1-Regular school,2-No,1-Yes,3-High,685,685,2,623,3,685,368,317,MARYLAND,46,14.89
FORT FOOTE ELEMENTARY,Maryland,MD ,Fort Foote Elementary,Prince George's County,FORT WASHINGTON,MD ,1-Regular school,2-No,2-No,1-Primary,328,328,30,155,22,328,153,175,MARYLAND,25.54,12.84
FORT GARRISON ELEMENTARY,Maryland,MD ,Fort Garrison Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,352,352,15,30,291,352,177,175,MARYLAND,23.6,14.92
FORT HILL HIGH,Maryland,MD ,Fort Hill High,Allegany County,CUMBERLAND,MD ,1-Regular school,2-No,2-No,3-High,780,780,6,39,676,780,417,363,MARYLAND,49,15.92
FORT SMALLWOOD ELEMENTARY,Maryland,MD ,Fort Smallwood Elementary,Anne Arundel County,PASADENA,MD ,1-Regular school,2-No,2-No,1-Primary,432,432,1,19,376,432,237,195,MARYLAND,26.4,16.36
FORT WASHINGTON FOREST ELEMENTARY,Maryland,MD ,Fort Washington Forest Elementary,Prince George's County,FORT WASHINGTON,MD ,1-Regular school,2-No,2-No,1-Primary,262,262,7,201,5,262,106,156,MARYLAND,16.96,15.45
FORT WORTHINGTON ELEMENTARY,Maryland,MD ,Fort Worthington Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,477,477,0,460,4,477,255,222,MARYLAND,22,21.68
FOUNTAIN GREEN ELEMENTARY,Maryland,MD ,Fountain Green Elementary,Harford County,BEL AIR,MD ,1-Regular school,2-No,2-No,1-Primary,492,492,29,18,394,492,265,227,MARYLAND,29.25,16.82
FOUNTAIN ROCK ELEMENTARY,Maryland,MD ,Fountain Rock Elementary,Washington County,HAGERSTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,181,181,1,5,165,181,108,73,MARYLAND,15.11,11.98
FOUNTAINDALE ELEMENTARY,Maryland,MD ,Fountaindale Elementary,Washington County,HAGERSTOWN,MD ,1-Regular school,2-No,1-Yes,1-Primary,375,375,19,50,219,375,185,190,MARYLAND,28.16,13.32
FOUR SEASONS ELEMENTARY,Maryland,MD ,Four Seasons Elementary,Anne Arundel County,GAMBRILLS,MD ,1-Regular school,2-No,2-No,1-Primary,597,597,47,97,352,597,313,284,MARYLAND,33.7,17.72
FOX CHAPEL ELEMENTARY,Maryland,MD ,Fox Chapel Elementary,Montgomery County,GERMANTOWN,MD ,1-Regular school,2-No,1-Yes,1-Primary,635,635,108,168,64,635,335,300,MARYLAND,41.6,15.26
FRANCES FUCHS EARLY CHILDHOOD CENTER,Maryland,MD ,Frances Fuchs Early Childhood Center,Prince George's County,BELTSVILLE,MD ,2-Special education school,2-No,2-No,1-Primary,298,298,14,112,9,298,201,97,MARYLAND,46.1,6.46
FRANCIS SCOTT KEY ELEMENTARY,Maryland,MD ,Francis Scott Key Elementary,Prince George's County,DISTRICT HEIGHTS,MD ,1-Regular school,2-No,2-No,1-Primary,561,561,5,476,1,561,297,264,MARYLAND,45.04,12.46
FRANCIS SCOTT KEY ELEMENTARY/MIDDLE,Maryland,MD ,Francis Scott Key Elementary/Middle,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,447,447,12,284,126,447,251,196,MARYLAND,32,13.97
FRANCIS SCOTT KEY HIGH,Maryland,MD ,Francis Scott Key High,Carroll County,UNION BRIDGE,MD ,1-Regular school,2-No,2-No,3-High,948,948,3,37,863,948,470,478,MARYLAND,54.67,17.34
FRANCIS SCOTT KEY MIDDLE,Maryland,MD ,Francis Scott Key Middle,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,2-Middle,979,979,101,421,38,979,510,469,MARYLAND,62.4,15.69
FRANCIS T. EVANS ELEMENTARY,Maryland,MD ,Francis T. Evans Elementary,Prince George's County,CLINTON,MD ,1-Regular school,2-No,2-No,1-Primary,355,355,8,238,48,355,192,163,MARYLAND,18.7,18.98
FRANKLIN ELEMENTARY,Maryland,MD ,Franklin Elementary,Baltimore County,REISTERSTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,491,491,37,106,301,491,253,238,MARYLAND,28.4,17.29
FRANKLIN HIGH,Maryland,MD ,Franklin High,Baltimore County,REISTERSTOWN,MD ,1-Regular school,2-No,2-No,3-High,1572,1572,106,602,658,1572,869,703,MARYLAND,86.7,18.13
FRANKLIN MIDDLE,Maryland,MD ,Franklin Middle,Baltimore County,REISTERSTOWN,MD ,1-Regular school,2-No,2-No,2-Middle,1301,1301,81,546,463,1301,694,607,MARYLAND,82.5,15.77
FRANKLIN SQUARE ELEMENTARY,Maryland,MD ,Franklin Square Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,387,387,0,369,9,387,173,214,MARYLAND,23,16.83
FREDERICK CLASSICAL CHARTER SCHOOL,Maryland,MD ,Frederick Classical Charter School,Frederick County,FREDERICK,MD ,1-Regular school,1-Yes,2-No,1-Primary,353,353,27,76,194,353,174,179,MARYLAND,26.36,13.39
FREDERICK COUNTY CAREER & TECHNOLOGY CENTER,Maryland,MD ,Frederick County Career & Technology Center,Frederick County,FREDERICK,MD ,3-Vocational school,2-No,2-No,†,†,†,†,†,†,0,†,†,MARYLAND,32,†
FREDERICK COUNTY VIRTUAL SCHOOL,Maryland,MD ,Frederick County Virtual School,Frederick County,FREDERICK,MD ,4-Alternative/other school,2-No,2-No,†,†,†,†,†,†,0,†,†,MARYLAND,0,†
FREDERICK DOUGLASS HIGH,Maryland,MD ,Frederick Douglass High,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,3-High,1132,1132,0,1115,7,1132,702,430,MARYLAND,64,17.69
FREDERICK DOUGLASS HIGH,Maryland,MD ,Frederick Douglass High,Prince George's County,UPPER MARLBORO,MD ,1-Regular school,2-No,2-No,3-High,934,934,0,841,18,934,480,454,MARYLAND,59,15.83
FREDERICK ELEMENTARY,Maryland,MD ,Frederick Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,202,202,0,182,14,202,107,95,MARYLAND,13,15.54
FREDERICK HIGH,Maryland,MD ,Frederick High,Frederick County,FREDERICK,MD ,1-Regular school,2-No,2-No,3-High,1224,1224,96,325,365,1224,628,596,MARYLAND,84.1,14.55
FREEDOM DISTRICT ELEMENTARY,Maryland,MD ,Freedom District Elementary,Carroll County,SYKESVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,468,468,14,31,395,468,271,197,MARYLAND,32.7,14.31
FREETOWN ELEMENTARY,Maryland,MD ,Freetown Elementary,Anne Arundel County,GLEN BURNIE,MD ,1-Regular school,2-No,2-No,1-Primary,490,490,29,215,158,490,245,245,MARYLAND,34.7,14.12
FRIENDLY HIGH,Maryland,MD ,Friendly High,Prince George's County,FORT WASHINGTON,MD ,1-Regular school,2-No,2-No,3-High,953,953,26,789,17,953,508,445,MARYLAND,61.5,15.5
FRIENDSHIP ACADEMY OF ENGINEERING AND TECHNOLOGY,Maryland,MD ,Friendship Academy of Engineering and Technology,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,4-Other,477,477,0,461,12,477,324,153,MARYLAND,31,15.39
FRIENDSHIP VALLEY ELEMENTARY,Maryland,MD ,Friendship Valley Elementary,Carroll County,WESTMINSTER,MD ,1-Regular school,2-No,2-No,1-Primary,484,484,10,14,406,484,249,235,MARYLAND,33.4,14.49
FRIENDSVILLE ELEMENTARY,Maryland,MD ,Friendsville Elementary,Garrett County,FRIENDSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,154,154,0,0,148,154,71,83,MARYLAND,10,15.4
FROST ELEMENTARY,Maryland,MD ,Frost Elementary,Allegany County,FROSTBURG,MD ,1-Regular school,2-No,2-No,1-Primary,245,245,5,2,231,245,121,124,MARYLAND,16.3,15.03
FRUITLAND INTERMEDIATE,Maryland,MD ,Fruitland Intermediate,Wicomico County,FRUITLAND,MD ,1-Regular school,2-No,2-No,1-Primary,436,436,15,105,258,436,218,218,MARYLAND,27,16.15
FRUITLAND PRIMARY,Maryland,MD ,Fruitland Primary,Wicomico County,FRUITLAND,MD ,1-Regular school,2-No,2-No,1-Primary,509,509,20,129,281,509,248,261,MARYLAND,33,15.42
FULLERTON ELEMENTARY,Maryland,MD ,Fullerton Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,631,631,69,156,315,631,315,316,MARYLAND,34.1,18.5
FULTON ELEMENTARY,Maryland,MD ,Fulton Elementary,Howard County,FULTON,MD ,1-Regular school,2-No,2-No,1-Primary,753,753,217,90,372,753,382,371,MARYLAND,51,14.76
FUNKSTOWN ELEMENTARY,Maryland,MD ,Funkstown Elementary,Washington County,HAGERSTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,174,174,4,13,122,174,94,80,MARYLAND,9.13,19.06
FURLEY ELEMENTARY,Maryland,MD ,Furley Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,474,474,1,455,2,474,261,213,MARYLAND,23.5,20.17
FURMAN TEMPLETON PREPARATORY ACADEMY,Maryland,MD ,Furman Templeton Preparatory Academy,Baltimore city,BALTIMORE,MD ,1-Regular school,1-Yes,2-No,1-Primary,512,512,0,500,4,512,279,233,MARYLAND,30,17.07
G. JAMES GHOLSON MIDDLE,Maryland,MD ,G. James Gholson Middle,Prince George's County,LANDOVER,MD ,1-Regular school,2-No,2-No,2-Middle,647,647,3,508,4,647,327,320,MARYLAND,55,11.76
G. LISBY ELEMENTARY AT HILLSDALE,Maryland,MD ,G. Lisby Elementary at Hillsdale,Harford County,ABERDEEN,MD ,1-Regular school,2-No,2-No,1-Primary,437,437,3,150,198,437,223,214,MARYLAND,32.26,13.55
GAITHERSBURG ELEMENTARY,Maryland,MD ,Gaithersburg Elementary,Montgomery County,GAITHERSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,864,864,31,136,44,864,463,401,MARYLAND,74.31,11.63
GAITHERSBURG HIGH,Maryland,MD ,Gaithersburg High,Montgomery County,GAITHERSBURG,MD ,1-Regular school,2-No,2-No,3-High,2306,2306,186,591,388,2306,1234,1072,MARYLAND,149.7,15.4
GAITHERSBURG MIDDLE,Maryland,MD ,Gaithersburg Middle,Montgomery County,GAITHERSBURG,MD ,1-Regular school,2-No,2-No,2-Middle,752,752,60,165,159,752,424,328,MARYLAND,55.68,13.51
GALE-BAILEY ELEMENTARY SCHOOL,Maryland,MD ,Gale-Bailey Elementary School,Charles County,MARBURY,MD ,1-Regular school,2-No,2-No,1-Primary,400,400,3,146,204,400,205,195,MARYLAND,29.59,13.52
GALENA ELEMENTARY SCHOOL,Maryland,MD ,Galena Elementary School,Kent County,GALENA,MD ,1-Regular school,2-No,2-No,1-Primary,171,171,1,13,138,171,77,94,MARYLAND,11,15.55
GALWAY ELEMENTARY,Maryland,MD ,Galway Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,807,807,81,469,34,807,429,378,MARYLAND,57.7,13.99
GARDENVILLE ELEMENTARY,Maryland,MD ,Gardenville Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,400,400,1,377,9,400,186,214,MARYLAND,19.5,20.51
GARRETT HEIGHTS ELEMENTARY,Maryland,MD ,Garrett Heights Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,352,352,4,319,22,352,193,159,MARYLAND,21,16.76
GARRETT PARK ELEMENTARY,Maryland,MD ,Garrett Park Elementary,Montgomery County,KENSINGTON,MD ,1-Regular school,2-No,2-No,1-Primary,802,802,129,103,349,802,433,369,MARYLAND,42.5,18.87
GATEWAY SCHOOL,Maryland,MD ,Gateway School,Carroll County,WESTMINSTER,MD ,4-Alternative/other school,2-No,2-No,3-High,65,65,0,3,57,65,43,22,MARYLAND,16,4.06
GATEWAY TO COLLEGE PROGRAM,Maryland,MD ,Gateway to College Program,Montgomery County,ROCKVILLE,MD ,4-Alternative/other school,2-No,2-No,3-High,3,3,1,0,0,3,2,1,MARYLAND,–,–
GAYWOOD ELEMENTARY,Maryland,MD ,Gaywood Elementary,Prince George's County,SEABROOK,MD ,1-Regular school,2-No,2-No,1-Primary,504,504,8,161,29,504,274,230,MARYLAND,40.76,12.37
GENERAL JOHN STRICKER MIDDLE,Maryland,MD ,General John Stricker Middle,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,2-Middle,732,732,8,134,465,732,386,346,MARYLAND,51.5,14.21
GENERAL SMALLWOOD MIDDLE SCHOOL,Maryland,MD ,General Smallwood Middle School,Charles County,INDIAN HEAD,MD ,1-Regular school,2-No,2-No,2-Middle,555,555,13,272,219,555,302,253,MARYLAND,39,14.23
GEORGE FOX MIDDLE,Maryland,MD ,George Fox Middle,Anne Arundel County,PASADENA,MD ,1-Regular school,2-No,2-No,2-Middle,949,949,17,72,727,949,488,461,MARYLAND,61.5,15.43
GEORGE T. CROMWELL ELEMENTARY,Maryland,MD ,George T. Cromwell Elementary,Anne Arundel County,GLEN BURNIE,MD ,1-Regular school,2-No,2-No,1-Primary,319,319,20,33,190,319,160,159,MARYLAND,23.9,13.35
GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY,Maryland,MD ,George W. Carver Center for Arts & Technology,Baltimore County,TOWSON,MD ,3-Vocational school,2-No,1-Yes,3-High,875,875,56,313,422,875,260,615,MARYLAND,59.2,14.78
GEORGE W. F. MCMECHEN,Maryland,MD ,George W. F. McMechen,Baltimore city,BALTIMORE,MD ,2-Special education school,2-No,2-No,3-High,55,55,1,50,2,55,33,22,MARYLAND,20,2.75
GEORGE WASHINGTON CARVER ELEMENTARY,Maryland,MD ,George Washington Carver Elementary,St. Mary's County,GREAT MILLS,MD ,1-Regular school,2-No,2-No,1-Primary,640,640,19,323,126,640,296,344,MARYLAND,38.15,16.78
GEORGE WASHINGTON ELEMENTARY,Maryland,MD ,George Washington Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,267,267,0,229,17,267,146,121,MARYLAND,17,15.71
GEORGE'S CREEK ELEMENTARY,Maryland,MD ,George's Creek Elementary,Allegany County,LONACONING,MD ,1-Regular school,2-No,2-No,1-Primary,307,307,1,1,299,307,153,154,MARYLAND,19.1,16.07
GEORGETOWN EAST ELEMENTARY,Maryland,MD ,Georgetown East Elementary,Anne Arundel County,ANNAPOLIS,MD ,1-Regular school,2-No,2-No,1-Primary,386,386,1,234,25,386,214,172,MARYLAND,35.6,10.84
GEORGIAN FOREST ELEMENTARY,Maryland,MD ,Georgian Forest Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,585,585,39,163,51,585,313,272,MARYLAND,44.8,13.06
GERMANTOWN ELEMENTARY,Maryland,MD ,Germantown Elementary,Montgomery County,GERMANTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,318,318,59,103,62,318,177,141,MARYLAND,25.6,12.42
GERMANTOWN ELEMENTARY,Maryland,MD ,Germantown Elementary,Anne Arundel County,ANNAPOLIS,MD ,1-Regular school,2-No,2-No,1-Primary,741,741,14,159,147,741,363,378,MARYLAND,54,13.72
GILMOR ELEMENTARY,Maryland,MD ,Gilmor Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,277,277,0,271,1,277,150,127,MARYLAND,23.5,11.79
GILPIN MANOR ELEMENTARY,Maryland,MD ,Gilpin Manor Elementary,Cecil County,ELKTON,MD ,1-Regular school,2-No,2-No,1-Primary,466,466,5,105,244,466,225,241,MARYLAND,34.2,13.63
GLADE ELEMENTARY,Maryland,MD ,Glade Elementary,Frederick County,WALKERSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,638,638,17,49,486,638,346,292,MARYLAND,38.8,16.44
GLADYS NOON SPELLMAN ELEMENTARY,Maryland,MD ,Gladys Noon Spellman Elementary,Prince George's County,CHEVERLY,MD ,1-Regular school,2-No,2-No,1-Primary,528,528,7,250,38,528,258,270,MARYLAND,34.26,15.41
GLASSMANOR ELEMENTARY,Maryland,MD ,Glassmanor Elementary,Prince George's County,OXON HILL,MD ,1-Regular school,2-No,2-No,1-Primary,340,340,3,170,5,340,167,173,MARYLAND,25.44,13.36
GLEN AVENUE SCHOOL,Maryland,MD ,Glen Avenue School,Wicomico County,SALISBURY,MD ,1-Regular school,2-No,2-No,1-Primary,415,415,3,260,75,415,216,199,MARYLAND,28,14.82
GLEN BURNIE HIGH,Maryland,MD ,Glen Burnie High,Anne Arundel County,GLEN BURNIE,MD ,1-Regular school,2-No,2-No,3-High,1894,1894,89,483,938,1894,929,965,MARYLAND,121.83,15.55
GLEN BURNIE PARK ELEMENTARY,Maryland,MD ,Glen Burnie Park Elementary,Anne Arundel County,GLEN BURNIE,MD ,1-Regular school,2-No,2-No,1-Primary,527,527,37,169,146,527,279,248,MARYLAND,34.5,15.28
GLEN HAVEN ELEMENTARY,Maryland,MD ,Glen Haven Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,551,551,48,124,84,551,263,288,MARYLAND,43.73,12.6
GLENALLAN ELEMENTARY,Maryland,MD ,Glenallan Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,664,664,51,228,54,664,348,316,MARYLAND,47,14.13
GLENARDEN WOODS ELEMENTARY,Maryland,MD ,Glenarden Woods Elementary,Prince George's County,GLENARDEN,MD ,1-Regular school,2-No,1-Yes,1-Primary,479,479,32,354,36,479,223,256,MARYLAND,26.72,17.93
GLENDALE ELEMENTARY,Maryland,MD ,Glendale Elementary,Anne Arundel County,GLEN BURNIE,MD ,1-Regular school,2-No,2-No,1-Primary,420,420,0,45,263,420,206,214,MARYLAND,36.7,11.44
GLENELG HIGH,Maryland,MD ,Glenelg High,Howard County,GLENELG,MD ,1-Regular school,2-No,2-No,3-High,1248,1248,102,67,980,1248,674,574,MARYLAND,80.8,15.45
GLENMAR ELEMENTARY,Maryland,MD ,Glenmar Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,454,454,69,269,49,454,231,223,MARYLAND,27.4,16.57
GLENMOUNT ELEMENTARY/MIDDLE,Maryland,MD ,Glenmount Elementary/Middle,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,636,636,5,581,30,636,314,322,MARYLAND,35,18.17
GLENN DALE ELEMENTARY,Maryland,MD ,Glenn Dale Elementary,Prince George's County,GLENN DALE,MD ,1-Regular school,2-No,2-No,1-Primary,531,531,26,407,22,531,274,257,MARYLAND,38.22,13.89
GLENRIDGE ELEMENTARY,Maryland,MD ,Glenridge Elementary,Prince George's County,LANDOVER HILLS,MD ,1-Regular school,2-No,2-No,1-Primary,839,839,14,373,46,839,430,409,MARYLAND,54.3,15.45
GLENWOOD MIDDLE,Maryland,MD ,Glenwood Middle,Howard County,GLENWOOD,MD ,1-Regular school,2-No,2-No,2-Middle,561,561,39,25,455,561,284,277,MARYLAND,35.8,15.67
GLYNDON ELEMENTARY,Maryland,MD ,Glyndon Elementary,Baltimore County,REISTERSTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,519,519,44,234,154,519,249,270,MARYLAND,28.5,18.21
GOLDEN RING MIDDLE,Maryland,MD ,Golden Ring Middle,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,2-Middle,674,674,22,427,133,674,359,315,MARYLAND,44,15.32
GORMAN CROSSING ELEMENTARY,Maryland,MD ,Gorman Crossing Elementary,Howard County,LAUREL,MD ,1-Regular school,2-No,2-No,1-Primary,698,698,176,210,187,698,346,352,MARYLAND,47.1,14.82
GOSHEN ELEMENTARY,Maryland,MD ,Goshen Elementary,Montgomery County,GAITHERSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,578,578,62,147,130,578,303,275,MARYLAND,39.8,14.52
GOV. THOMAS JOHNSON HIGH,Maryland,MD ,Gov. Thomas Johnson High,Frederick County,FREDERICK,MD ,1-Regular school,2-No,2-No,3-High,1483,1483,76,355,608,1483,728,755,MARYLAND,81,18.31
GOV. THOMAS JOHNSON MIDDLE,Maryland,MD ,Gov. Thomas Johnson Middle,Frederick County,FREDERICK,MD ,1-Regular school,2-No,2-No,2-Middle,523,523,24,86,299,523,270,253,MARYLAND,41.2,12.69
GOVANS ELEMENTARY,Maryland,MD ,Govans Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,1-Yes,2-No,1-Primary,400,400,1,385,5,400,204,196,MARYLAND,29,13.79
GRACELAND PARK/O'DONNEL HEIGHTS ELEMENTARY,Maryland,MD ,Graceland Park/O'Donnel Heights Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,470,470,7,179,36,470,218,252,MARYLAND,28.5,16.49
GRANGE ELEMENTARY,Maryland,MD ,Grange Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,479,479,15,54,335,479,251,228,MARYLAND,28,17.11
GRANTSVILLE ELEMENTARY,Maryland,MD ,Grantsville Elementary,Garrett County,GRANTSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,236,236,0,3,226,236,118,118,MARYLAND,19,12.42
GRASONVILLE ELEMENTARY SCHOOL,Maryland,MD ,Grasonville Elementary School,Queen Anne's County,GRASONVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,492,492,5,82,348,492,254,238,MARYLAND,31,15.87
GREAT MILLS HIGH,Maryland,MD ,Great Mills High,St. Mary's County,GREAT MILLS,MD ,1-Regular school,2-No,2-No,3-High,1535,1535,76,577,657,1535,790,745,MARYLAND,86.3,17.79
GREAT SENECA CREEK ELEMENTARY,Maryland,MD ,Great Seneca Creek Elementary,Montgomery County,GERMANTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,700,700,87,207,182,700,361,339,MARYLAND,45,15.56
GREEN HOLLY ELEMENTARY SCHOOL,Maryland,MD ,Green Holly Elementary School,St. Mary's County,LEXINGTON PARK,MD ,1-Regular school,2-No,2-No,1-Primary,596,596,13,205,245,596,312,284,MARYLAND,40.6,14.68
GREEN STREET ACADEMY,Maryland,MD ,Green Street Academy,Baltimore city,BALTIMORE,MD ,1-Regular school,1-Yes,2-No,4-Other,609,609,0,589,16,609,306,303,MARYLAND,43,14.16
