School Name [Public School] 2015-16,GreatSchools Rating,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16
Drew Freeman Middle,3,Prince George's County,SUITLAND,MD 
Dublin Elementary,7,Harford County,STREET,MD 
Ducketts Lane,6,Howard County,ELKRIDGE,MD 
DuFief Elementary,8,Montgomery County,GAITHERSBURG,MD 
Dulaney High,8,Baltimore County,TIMONIUM,MD 
Dumbarton Middle,7,Baltimore County,BALTIMORE,MD 
Dundalk Elementary,3,Baltimore County,BALTIMORE,MD 
Dundalk High,3,Baltimore County,BALTIMORE,MD 
Dundalk Middle,3,Baltimore County,BALTIMORE,MD 
Dunloggin Middle,8,Howard County,ELLICOTT CITY,MD 
Duval High,4,Prince George's County,LANHAM,MD 
Dwight D. Eisenhower Middle,3,Prince George's County,LAUREL,MD 
Dynard Elementary,4,St. Mary's County,CHAPTICO,MD 
E. Russell Hicks Middle,5,Washington County,HAGERSTOWN,MD 
Eager Street Academy,NaN,Baltimore city,BALTIMORE,MD 
Earle B. Wood Middle,7,Montgomery County,ROCKVILLE,MD 
East Salisbury Elementary,4,Wicomico County,SALISBURY,MD 
East Silver Spring Elementary,5,Montgomery County,SILVER SPRING,MD 
Eastern Elementary,5,Washington County,HAGERSTOWN,MD 
Eastern Middle School,7,Montgomery County,SILVER SPRING,MD 
Eastern Technical High School,10,Baltimore County,BALTIMORE,MD 
Easton Elementary,5,Talbot County,EASTON,MD 
Easton High,6,Talbot County,EASTON,MD 
Easton Middle,5,Talbot County,EASTON,MD 
Eastport Elementary,5,Anne Arundel County,ANNAPOLIS,MD 
Ebb Valley Elementary,7,Carroll County,MANCHESTER,MD 
Edgecombe Circle Elementary,1,Baltimore city,BALTIMORE,MD 
Edgemere Elementary,5,Baltimore County,BALTIMORE,MD 
Edgewater Elementary,7,Anne Arundel County,EDGEWATER,MD 
Edgewood Elementary,3,Harford County,EDGEWOOD,MD 
Edgewood Elementary,2,Baltimore city,BALTIMORE,MD 
Edgewood High,5,Harford County,EDGEWOOD,MD 
Edgewood Middle,5,Harford County,EDGEWOOD,MD 
Edmondson Heights Elementary,2,Baltimore County,BALTIMORE,MD 
Edmondson-Westside High,3,Baltimore city,BALTIMORE,MD 
